timestamp,type,exchange,symbol,futures_price,spot_price,basis,basis_percent,open_interest,volume_24h,put_call_ratio,implied_volatility,skew,funding_rate,funding_rate_percent,next_funding_time
2025-09-26T20:13:13.468600+00:00,funding,okx,BTC/USDT,,,,,,,,,,2.2408976354e-05,0.0022408976354000004,2025-09-27T00:00:00+00:00
2025-09-26T20:13:15.616296+00:00,funding,bitmex,BTC/USDT,,,,,,,,,,0.0001,0.01,2025-09-27T04:00:00+00:00
2025-09-27T00:51:18.620642+00:00,futures,bitmex,BTC/USDT,109454.4,109493.0,-0.00035253395194218646,-0.03525339519421865,0.0,34952039.866859995,,,,,,
2025-09-27T00:51:18.862854+00:00,funding,okx,BTC/USDT,,,,,,,,,,2.6250788412e-06,0.00026250788412,2025-09-27T08:00:00+00:00
2025-09-27T00:51:20.682621+00:00,funding,bitmex,BTC/USDT,,,,,,,,,,0.0001,0.01,2025-09-27T04:00:00+00:00
2025-09-27T04:14:02.716531+00:00,futures,bitmex,BTC/USDT,109513.9,109424.5,0.0008170016769552905,0.08170016769552904,0.0,34147076.77626999,,,,,,
2025-09-27T04:14:02.949126+00:00,funding,okx,BTC/USDT,,,,,,,,,,-1.07067217448e-05,-0.00107067217448,2025-09-27T08:00:00+00:00
2025-09-27T04:14:05.013651+00:00,funding,bitmex,BTC/USDT,,,,,,,,,,0.0001,0.01,2025-09-27T12:00:00+00:00
2025-09-27T08:13:48.722106+00:00,futures,bitmex,BTC/USDT,109254.2,109340.0,-0.0007847082494970085,-0.07847082494970085,0.0,29993666.605959993,,,,,,
2025-09-27T08:13:48.892525+00:00,funding,okx,BTC/USDT,,,,,,,,,,-1.87954819174e-05,-0.0018795481917400002,2025-09-27T16:00:00+00:00
2025-09-27T08:13:51.031301+00:00,funding,bitmex,BTC/USDT,,,,,,,,,,0.0001,0.01,2025-09-27T12:00:00+00:00
2025-09-27T12:19:53.632959+00:00,futures,bitmex,BTC/USDT,109253.4,109243.5,9.062324074195883e-05,0.009062324074195882,0.0,26176356.475769997,,,,,,
2025-09-27T12:19:53.855016+00:00,funding,okx,BTC/USDT,,,,,,,,,,7.35608555543e-05,0.007356085555430001,2025-09-27T16:00:00+00:00
2025-09-27T12:19:55.752212+00:00,funding,bitmex,BTC/USDT,,,,,,,,,,0.0001,0.01,2025-09-27T20:00:00+00:00
2025-09-27T16:12:50.555586+00:00,futures,bitmex,BTC/USDT,109338.0,109304.0,0.00031105906462709505,0.031105906462709505,0.0,14641216.29434,,,,,,
2025-09-27T16:12:50.794644+00:00,funding,okx,BTC/USDT,,,,,,,,,,1.08871971708e-05,0.0010887197170800001,2025-09-28T00:00:00+00:00
2025-09-27T16:12:52.641436+00:00,funding,bitmex,BTC/USDT,,,,,,,,,,0.0001,0.01,2025-09-27T20:00:00+00:00
2025-09-27T20:11:54.512233+00:00,futures,bybit,BTC/USDT,109358.3,109401.8,-0.00039761685822353927,-0.039761685822353926,0.0,2355705019.4683,,,,,,
2025-09-27T20:11:57.544887+00:00,futures,bitmex,BTC/USDT,109340.4,109388.0,-0.0004351482795188304,-0.04351482795188304,0.0,9507333.544930002,,,,,,
2025-09-27T20:11:57.773477+00:00,funding,okx,BTC/USDT,,,,,,,,,,-6.14082462156e-05,-0.00614082462156,2025-09-28T00:00:00+00:00
2025-09-27T20:11:58.010269+00:00,funding,bybit,BTC/USDT,,,,,,,,,,9.464e-05,0.009464,2025-09-28T00:00:00+00:00
2025-09-27T20:11:59.870699+00:00,funding,bitmex,BTC/USDT,,,,,,,,,,0.0001,0.01,2025-09-28T04:00:00+00:00
